Name,College,ERA,Batting_Avg,Strikeouts,Innings_Pitched,Walks_Allowed,Hits_Allowed,Homeruns_Allowed,Int_Walks_Allowed,Hit_Batters,Games,Games_Started
Mark Lowe,University of Texas at Arlington,5.4,0.091,8,6,0,2,0,0,2,8,0
Mark Melancon,University of Arizona,7.27,0.34,33,30,15,48,6,9,0,33,0
Martin Perez,,7.2,0.353,2,5,3,6,0,1,0,1,1
Masahiro Tanaka,,1.84,0.164,37,46,11,25,4,0,1,8,8
Mat Latos,,6.48,0.297,5,8,2,11,2,0,0,2,1
Matt Barnes,,2.08,0.071,4,4,4,1,1,0,0,5,0
Matt Bush,,0,0.083,6,3,2,1,0,1,0,2,0
Matt Cain,,1.85,0.201,33,49,14,40,6,2,6,8,8
Matt Garza,California State University Fresno,1.5,0.227,12,18,6,15,3,0,0,3,3
Matt Harrison,,5.13,0.254,16,17,9,20,2,1,0,5,4
Matt Harvey,University of North Carolina at Chapel Hill,3.05,0.223,81,78,24,63,6,3,3,12,12
Matt Moore,,3.99,0.164,25,24,8,14,2,1,2,5,3
Matt Shoemaker,,0,0.227,6,6,0,5,0,0,0,1,1
Max Fried,,9,0.278,6,4,3,5,0,0,0,4,0
Max Scherzer,University of Missouri Columbia,3.3,0.191,411,327,138,243,36,9,21,66,54
Micah Owings,Georgia Institute of Technology,0,0.182,3,9,0,6,0,0,0,6,0
Michael Wacha,Texas A&M University,4.25,0.187,114,99,45,66,18,12,3,18,18
Miguel Gonzalez,,1.44,0.2,12,12,4,9,0,1,2,2,2
Mike Adams,Texas A&M University-Kingsville,2.08,0.312,12,12,3,15,3,3,0,15,0
Mike Clevinger,,3.15,0.161,11,9,7,5,2,0,1,4,1
Mike Foltynewicz,,7.43,0.221,17,13,10,11,2,2,1,4,4
Mike Gonzalez,"San Jacinto College, North Campus",6,0.111,2,3,1,1,1,0,0,3,0
Mike Leake,Arizona State University,10.38,0.353,3,12,6,18,6,0,0,3,3
Mike Minor,Vanderbilt University,1.42,0.333,15,18,3,24,0,0,0,3,3
Mike Montgomery,,5.84,0.319,14,16,9,24,2,0,0,14,0
Mike Soroka,,1.29,0.091,7,7,0,2,0,0,0,1,1
Miles Mikolas,Nova Southeastern University,1.5,0.212,27,36,12,30,0,3,0,9,6
Mitchell Boggs,University of Georgia,3.8,0.285,15,27,12,33,6,0,0,33,0
Nathan Eovaldi,,1.62,0.184,16,22,3,15,1,0,0,6,2
Neftali Feliz,,1.52,0.105,21,16,10,6,0,1,1,16,0
Nick Anderson,,2.08,0.25,4,4,0,4,0,0,0,3,0
Noah Syndergaard,,2.44,0.184,36,25,11,17,0,1,0,5,4
Octavio Dotel,,3.58,0.182,10,7,2,5,1,1,1,9,0
Oliver Drake,,6,0.25,4,3,1,3,0,0,0,2,0
Oliver Perez,,0,0.1,3,3,1,1,0,0,1,4,0
Pat Neshek,Butler University,2.35,0.11,18,21,0,9,6,0,0,24,0
Patrick Corbin,,6.08,0.227,36,23,12,21,2,1,1,8,3
Pedro Baez,,2.32,0.16,16,14,8,10,2,1,1,15,0
Pedro Strop,,4.35,0.196,2,6,2,4,0,0,3,7,0
Phil Coke,San Joaquin Delta College,1.8,0.188,28,22,2,16,0,0,0,22,0
Phil Hughes,,3.94,0.238,21,24,14,25,3,3,0,5,5
R. A. Dickey,University of Tennessee,1.93,0.263,9,12,0,15,0,0,0,3,3
Rafael Soriano,,3.64,0.2,7,10,0,7,3,0,0,8,0
Randy Wolf,Pepperdine University,11.79,0.357,24,30,12,42,12,0,0,6,6
Rich Hill,University of Michigan,2.74,0.186,180,138,78,99,12,9,9,33,30
Rick Porcello,,5.09,0.268,33,37,7,41,6,2,5,12,7
Ricky Nolasco,,6.75,0.214,4,4,1,3,1,0,0,1,1
Robbie Ray,,8.31,0.235,6,4,4,4,0,0,1,1,1
Roberto Osuna,,3.17,0.134,21,20,1,10,2,0,2,16,0
Ross Detwiler,Missouri State University,0,0.15,6,18,9,9,0,3,0,3,3
Ross Ohlendorf,Princeton University,0,0.167,15,9,0,6,0,0,3,9,0
Roy Halladay,,2.13,0.142,35,38,5,23,3,1,0,5,5
Roy Oswalt,Holmes Community College,4.91,0.257,48,50,10,50,8,0,4,10,8
Ryan Brasier,,0,0.188,2,4,2,3,0,0,1,4,0
Ryan Cook,University of Southern California,8.1,0.308,12,9,3,12,0,0,3,12,0
Ryan Helsley,,0,0,5,4,1,0,0,0,0,3,0
Ryan Madson,,2.75,0.249,37,25,7,24,4,3,1,24,0
Ryan Mattheus,,6,0.273,0,3,1,3,0,0,0,3,0
Ryan Merritt,,0,0.143,3,4,0,2,0,0,0,1,1
Ryan Perry,University of Arizona,9,0.353,3,12,0,18,3,0,0,9,0
Ryan Pressly,,9,0.273,3,3,2,3,0,1,0,4,0
Ryan Vogelsong,Kutztown University of Pennsylvania,4.42,0.267,87,105,48,96,3,0,3,24,21
Ryan Yarbrough,,0,0.2,1,3,1,2,0,0,0,3,0
Sam Dyson,University of South Carolina,2.45,0.353,6,9,3,18,3,3,0,12,0
Sam LeCure,,0,0.154,5,4,2,2,0,1,0,3,0
Sammy Solis,,1.93,0.176,2,4,2,3,0,1,0,5,0
Santiago Casilla,,0.9,0.176,10,9,4,8,0,0,0,12,0
Scott Feldman,College of San Mateo,3,0.173,22,26,12,16,0,4,4,18,0
Scott Kazmir,,5.06,0.25,4,5,1,5,1,0,0,1,1
Sean Doolittle,University of Virginia,1.82,0.156,54,51,9,30,6,0,0,48,0
Sean Marshall,Virginia Commonwealth University,0,0,9,12,0,0,0,0,0,9,0
Sean Newcomb,,0.97,0.077,6,7,3,2,0,0,0,6,1
Sergio Romo,Arizona Western College,0.52,0.121,44,52,4,24,0,0,0,52,0
Seth Maness,East Carolina University,0,0.222,4,16,0,16,0,0,0,16,0
Shaun Marcum,University of Missouri Columbia,14.85,0.393,15,27,15,51,9,3,0,9,9
Shawn Tolleson,Baylor University,0,0.1,9,9,0,3,0,0,0,6,0
Shelby Miller,,5.31,0.316,11,11,6,15,0,0,1,4,2
Sonny Gray,Vanderbilt University,3.99,0.176,54,63,36,42,6,3,6,12,12
Stephen Strasburg,San Diego State University,1.22,0.228,213,165,24,132,12,3,3,27,24
Steven Matz,,3.64,0.28,13,14,4,17,0,1,0,3,3
Takashi Saito,,0,0.175,5,7,0,4,0,0,2,6,0
Tanner Roark,,4.15,0.368,1,4,3,7,1,1,1,1,1
Tim Collins,,3.6,0.286,6,5,2,6,0,0,0,3,0
Tim Hudson,Chattahoochee Valley Community College,3.26,0.235,84,108,24,100,4,0,8,20,20
Tim Lincecum,University of Washington,2.21,0.151,189,156,42,102,9,0,3,36,18
Tommy Hanson,,9,0.312,5,4,1,5,1,0,0,1,1
Tommy Hunter,University of Alabama,5.7,0.32,26,22,2,32,4,0,2,6,6
Tommy Kahnle,,2.93,0.187,9,11,4,8,1,0,0,9,0
Tommy Milone,University of Southern California,1.5,0.217,18,18,3,15,0,0,3,3,3
Tony Barnette,,0,0.2,1,4,0,3,0,0,0,3,0
Tony Cingrani,Rice University,3,0.2,4,6,4,4,2,4,0,6,0
Tony Sipp,Northwest Florida State College,0,0.067,12,12,3,3,0,0,0,15,0
Tony Watson,University of Nebraska at Lincoln,0,0.175,6,18,6,12,0,0,3,24,0
Touki Toussaint,,0,0.111,2,3,4,1,0,0,0,2,0
Travis Wood,,2.98,0.17,19,13,2,9,0,1,0,10,0
Trevor Bauer,"University of California, Los Angeles",4.49,0.304,93,72,18,93,12,3,0,27,15
Trevor Rosenthal,,0.6,0.141,35,20,5,10,0,2,0,18,0
Ty Blach,,0,0.182,3,3,0,2,0,0,0,2,0
Tyler Anderson,,1.5,0.19,5,6,2,4,0,0,0,1,1
Tyler Clippard,,3,0.169,9,9,2,6,2,0,0,9,0
Tyler Glasnow,,7.71,0.3,8,7,3,9,1,0,0,2,2
Wade Davis,,1.49,0.205,44,30,9,23,2,0,0,22,1
Wade Miley,Southeastern Louisiana University,0.9,0.183,27,42,12,30,3,0,0,12,12
Walker Buehler,,3.39,0.148,44,35,10,21,3,1,1,6,6
Wei-Yin Chen,,5.69,0.336,10,14,2,22,2,0,0,3,3
Will Harris,Louisiana State University,2.25,0.193,32,28,4,24,8,0,0,36,0
Yordano Ventura,,5.62,0.275,36,44,17,48,7,1,1,9,9
Yovani Gallardo,,4.03,0.264,17,24,9,22,2,2,0,4,4
Yu Darvish,,7.3,0.26,25,25,4,27,8,0,3,6,6
Yusmeiro Petit,,1.64,0.166,13,12,4,7,0,1,0,4,0
Zack Britton,,1.13,0.13,9,9,6,4,1,1,0,8,0
Zack Godley,,3.6,0.211,5,5,2,4,0,0,0,1,0
Zack Greinke,,5.27,0.246,84,89,25,84,15,0,3,16,16
